"src","doi","yr","pmcid"
"PMC","10.1371/journal.pone.0079871",2013,"PMC3832420"
"PMC","10.1371/journal.pone.0079667",2013,"PMC3832539"
"PMC","10.1155/2013/185679",2013,"PMC3832998"
"PMC","10.1371/journal.pone.0080702",2013,"PMC3834335"
"PMC","10.1093/bioinformatics/btt532",2013,"PMC3834797"
"PMC","10.1093/nar/gkt850",2013,"PMC3834841"
"PMC","10.1371/journal.pone.0080635",2013,"PMC3836772"
"PMC","10.1371/journal.pone.0080875",2013,"PMC3839996"
"PMC","10.7717/peerj.212",2013,"PMC3840416"
"PMC","10.1186/1471-2180-13-259",2013,"PMC3840555"
"PMC","10.1002/hep.26414",2013,"PMC3842115"
"PMC","10.1371/journal.pone.0081008",2013,"PMC3842326"
"PMC","10.1371/journal.pone.0081853",2013,"PMC3842982"
"PMC","10.1186/2047-217X-2-10",2013,"PMC3844414"
"PMC","10.1371/journal.pone.0081658",2013,"PMC3847114"
"PMC","10.1186/1471-2105-14-283",2013,"PMC3848918"
"PMC","10.1371/journal.pone.0080489",2013,"PMC3849183"
"PMC","10.1038/nmeth.2714",2014,"PMC3851240"
"PMC","10.1038/nmeth.2689",2014,"PMC3851581"
"PMC","10.1186/1471-2164-14-S5-S15",2013,"PMC3852146"
"PMC","10.1534/g3.113.008185",2013,"PMC3852387"
"PMC","10.1107/S0907444913024621",2013,"PMC3852646"
"PMC","10.1155/2013/873595",2013,"PMC3853154"
"PMC","10.1186/1471-2164-14-670",2013,"PMC3853357"
"PMC","10.1371/journal.pcbi.1003374",2013,"PMC3854677"
"PMC","10.1371/journal.pone.0082160",2013,"PMC3855388"
"PMC","10.1371/journal.pone.0080961",2013,"PMC3855653"
"PMC","10.1371/journal.pone.0082634",2013,"PMC3855774"
"PMC","10.1038/nm.3390",2014,"PMC3855886"
"PMC","10.1155/2013/517287",2013,"PMC3855958"
"PMC","10.1371/journal.pone.0081760",2013,"PMC3857212"
"PMC","10.3389/fpsyg.2013.00918",2013,"PMC3857542"
"PMC","10.1021/pr4003867",2013,"PMC3859183"
"PMC","10.1371/journal.pcbi.1003345",2013,"PMC3861042"
"PMC","10.1371/journal.pntd.0002591",2013,"PMC3861164"
"PMC","10.1371/journal.pgen.1003896",2013,"PMC3861217"
"PMC","10.1371/journal.pone.0081092",2014,"PMC3861309"
"PMC","10.1136/amiajnl-2013-001922",2013,"PMC3861922"
"PMC","10.1371/journal.pone.0081732",2013,"PMC3864841"
"PMC","10.3389/fnins.2013.00247",2013,"PMC3865440"
"PMC","10.1371/journal.pone.0082883",2013,"PMC3866173"
"PMC","10.1186/1748-7188-8-25",2013,"PMC3868316"
"PMC","10.12688/f1000research.2-219.v2",2013,"PMC3869492"
